"Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","BELONG","HOMEPOS","ESCS","treat"
434.835,1,1,1,2,3,4,4,-0.3381,0.1032,-0.7348,0
464.947,1,1,1,4,3,6,6,0.0622,2.1036,1.1698,0
518.289,1,1,2,4,4,6,6,2.5915,0.7786,1.2202,0
370.08,2,1,1,3,3,5,5,-0.3381,0.3696,0.1648,0
508.897,1,1,2,4,3,4,6,0.1313,1.9243,1.6412,0
582.725,2,1,2,3,3,6,6,-0.3381,-0.0448,0.6283,0
514.122,1,1,1,5,3,4,6,-0.4725,2.0224,0.7887,0
301.199,2,1,1,2,3,6,6,0.3791,0.3748,0.8031,0
362.628,2,1,2,3,3,6,6,-0.8024,0.6811,0.957,0
591.228,1,1,1,5,3,6,6,-0.9678,2.7577,1.5962,0
614.54,1,1,1,5,4,6,6,1.1245,1.493,1.462,0
530.995,1,1,2,3,1,6,6,-1.4215,0.0024,0.5836,0
606.343,1,1,2,4,4,6,6,0.7934,-0.3114,0.303,0
462.737,1,1,1,4,2,5,6,-0.6467,2.0454,1.5824,0
479.928,1,1,1,3,3,6,6,-0.3381,1.1762,1.201,0
433.597,2,1,2,2,3,6,6,-0.3381,-0.1765,0.6419,0
596.414,1,1,2,5,3,6,6,-0.5064,2.1948,1.3893,0
539.07,1,1,1,5,4,6,6,2.5915,1.4003,1.3866,0
490.059,1,1,1,4,3,6,6,-0.6334,0.6919,0.961,0
403.047,2,1,2,1,4,2,4,-0.2015,0.4431,0.258,0
600.789,1,1,1,5,2,6,6,-0.8883,2.5543,1.7281,0
563.792,2,1,2,1,3,5,5,1.0676,-0.4649,0.2301,0
523.536,1,1,1,4,2,5,6,-0.5917,2.3227,1.6016,0
580.885,2,1,2,3,3,5,6,0.3791,-0.4252,0.1165,0
560.419,2,1,2,5,3,6,6,0.7555,1.5381,1.4373,0
505.366,1,1,1,2,4,5,5,0.6642,0.4931,0.5615,0
599.707,1,1,1,5,4,6,6,1.5043,1.6768,1.2816,0
573.861,2,1,1,3,3,6,6,-0.3381,0.9202,1.1482,0
494.571,1,1,1,4,3,6,6,-0.3381,0.3603,0.7978,0
607.776,2,1,1,3,2,5,6,-0.7244,0.7573,0.7784,0
373.895,2,1,2,2,4,1,4,2.5915,-0.548,-0.8295,0
525.337,1,1,1,4,3,6,6,-0.3381,1.9285,0.9402,0
418.619,1,1,2,1,4,4,5,-0.3182,-0.4093,-0.1214,0
324.032,1,1,2,2,3,5,5,-0.6239,-0.8026,-0.8239,0
676.464,1,1,1,5,3,6,6,-0.3381,0.1348,0.9629,0
627.797,1,1,1,5,3,6,6,-0.7577,0.8064,1.2717,0
476.223,1,1,1,2,4,6,6,2.5915,0.7127,0.9686,0
481.194,1,1,2,4,3,5,6,0.6897,1.1186,1.4278,0
493.511,1,1,1,3,2,5,6,-0.5917,0.5884,0.551,0
544.12,1,1,1,5,2,6,6,-0.7768,1.9694,1.5338,0
494.343,2,1,1,2,3,5,6,-0.5753,0.8723,1.2339,0
579.387,2,1,2,3,3,6,6,0.5643,1.6265,1.4078,0
376.993,1,1,2,1,3,6,6,-0.3381,-0.6179,0.1284,0
451.331,1,2,1,6,4,5,5,0.6642,0.4887,-0.308,0
549.979,1,1,1,5,3,6,6,-0.8307,1.2407,1.2453,0
506.532,1,1,2,3,4,6,6,2.5915,0.8128,1.0054,0
620.22,2,1,2,4,4,6,6,-0.3182,0.7698,0.9483,0
661.794,2,1,1,3,2,6,6,-0.5917,-0.4397,0.7518,0
592.811,1,1,2,3,2,6,6,-1.072,0.1498,0.7204,0
601.751,2,1,2,6,2,5,6,-1.1467,0.6649,1.0544,0
407.176,2,1,2,2,3,5,5,0.3334,0.0798,-0.0657,0
570.926,1,1,1,4,3,6,6,-0.3381,1.6454,1.642,0
513.637,2,2,1,6,4,4,6,0.2774,0.7603,1.0068,0
598.352,1,1,1,5,4,6,6,0.6642,1.2739,1.0509,0
534.19,1,1,1,2,4,6,6,2.5915,0.5857,0.9633,0
504.05,2,1,1,5,4,6,6,0.9646,1.5063,1.219,0
487.095,1,1,2,3,3,6,6,-0.3381,0.7581,1.0473,0
520.432,1,1,2,4,4,5,5,0.6642,0.325,0.1691,0
483.59,1,1,2,4,3,6,6,-0.1862,1.9705,1.3482,0
472.704,2,1,1,3,3,6,6,-0.866,1.5604,1.3215,0
505.573,1,1,1,6,4,6,6,0.5423,1.2064,1.3154,0
435.746,2,1,1,5,2,6,6,-1.072,1.9972,0.5108,0
384.967,2,1,2,3,3,6,6,-0.3381,-0.2103,0.6088,0
450.972,1,1,1,5,3,6,6,0.2552,1.496,1.5251,0
388.419,1,1,2,4,3,6,6,-0.8307,0.9403,1.2176,0
467.514,1,1,1,3,3,6,6,-0.3381,1.99,1.81,0
543.789,1,1,2,3,3,4,4,-0.66,-1.6964,-1.3135,0
656.842,1,1,2,6,3,4,6,-0.5064,-0.4134,0.7201,0
552.605,2,1,2,4,3,6,6,0.7555,0.9877,0.1605,0
680.183,2,1,1,5,3,6,6,-0.8444,-0.1032,0.4415,0
390.141,2,1,1,5,4,4,4,2.5915,0.8781,0.3972,0
486.867,1,1,2,3,3,4,6,-0.66,0.2435,0.3829,0
449.208,2,1,2,2,4,6,6,2.5915,0.1834,0.7328,0
378.295,2,1,1,6,2,6,6,-1.1053,0.6564,0.2247,0
482.32,1,1,1,5,4,4,4,0.8589,0.1728,-0.3166,0
495.888,2,1,2,2,4,4,4,0.5901,-0.3238,-0.7884,0
512.596,2,1,1,3,4,4,4,0.7701,0.2905,-0.0667,0
534.384,2,1,2,1,4,5,6,0.9646,-0.3848,0.586,0
359.238,1,1,1,5,4,6,6,2.5915,2.7615,1.7216,0
518.666,2,1,1,3,3,6,6,0.0248,2.4776,1.7206,0
632.238,2,1,2,4,4,3.80124726,4,1.0269,0.5931,0.5611,0
471.817,2,1,2,3,3,4,4,-0.4725,0.5168,0.3057,0
519.753,2,1,1,3,4,4,6,2.5915,2.0534,1.5233,0
581.888,1,1,1,6,4,5,5,1.5043,3.185,1.7987,0
409.728,1,1,1,1,3,6,6,-0.7862,0.5271,0.3632,0
429.525,2,1,2,1,4,6,6,1.5611,-0.683,0.4144,0
417.003,2,1,2,5,7,6,6,3.584906528,2.0483,1.6868,0
417.563,2,1,1,4,1,6,6,-3.1297,1.9149,1.3485,0
643.507,1,1,2,5,2,6,6,-0.6981,1.4157,1.4543,0
471.282,1,1,2,2,4,6,6,1.5611,0.1505,-0.2918,0
478.486,2,1,1,3,2,6,6,-0.6749,1.0769,1.2058,0
563.836,1,1,1,5,2,6,6,-0.6485,0.8763,1.3594,0
645.432,1,1,1,4,4,6,6,2.5915,1.6345,1.2661,0
329.65,2,1,0.670726952,3,2,4,4,-0.8684,2.3227,0.6181,0
420.435,1,1,1,1,3,6,6,-0.231,0.2699,0.7646,0
543.348,2,1,1,4,1,6,6,-1.8282,1.1275,1.431,0
606.307,1,1,1,4,4,6,6,1.1245,0.9826,1.1298,0
627.942,1,1,2,3,3,6,6,0.0248,1.5993,1.4184,0
534.871,1,1,1,3,3,6,6,-0.1985,1.0586,1.4264,0
448.304,1,1,1,5,4,6,6,1.0269,2.7632,1.7015,0
606.319,1,1,1,5,2,6,6,-1.0546,0.4921,0.9702,0
546.931,2,1,1,3,4,6,6,2.5915,1.9317,1.6439,0
516.063,1,1,2,4,4,6,6,2.5915,0.4114,0.9819,0
431.518,2,1,1,3,3,5,5,-0.3381,-0.2768,-0.5067,0
476.61,1,1,1.927620393,5,3,6,6,0.3791,0.4448,0.6429,0
589.721,1,1,2,3,3,6,6,0.0248,0.7425,1.0209,0
473.406,1,1,1,5,2,6,6,-1.0536,0.3878,0.5806,0
488.923,2,1,1,6,1,6,6,-3.1297,1.9119,1.368,0
260.332,2,0.931344213,1.099719131,5,3,4,4,-0.5753,0.0897,0.4057,0
512.385,1,1,1,4,3,5,6,-0.5064,1.1472,1.211,0
302.917,1,1,2,4.943402763,3,4,4,-0.225100568,0.9409,-0.4683,0
445.33,2,1,2,3,3,6,6,0.7555,0.0767,0.9622,0
508.043,2,1,2,5,2,5,5,-1.0536,0.5358,0.5772,0
521.668,2,1,2,4,3,6,6,-0.7089,0.4804,1.1726,0
416.447,2,1,1,3,4,6,6,1.0269,0.6438,0.902,0
597.207,2,1,2,3,1,6,6,-1.0819,-1.1999,-0.0649,0
490.284,2,1,1,4,2,6,6,-1.0597,1.0755,1.0813,0
577.183,1,1,2,3,4,4,4,1.5043,-0.0572,0.2807,0
365.269,2,1,1,3,1,6,6,-3.1297,1.4788,1.2295,0
466.484,2,1,1,4,3,6,6,-0.4725,0.613,1.056,0
291.703,1,1,1,4,3,4,4,0.1313,1.862,0.5108,0
463.463,2,1,1,5,4,5,6,0.5423,0.6371,1.0442,0
628.629,1,1,1,4,1,6,6,-0.8982,1.6015,1.4812,0
622.006,2,1,1,4,3,6,6,0.0248,2.688,1.6946,0
675.48,1,1,1,5,4,6,6,2.5915,1.5475,1.2754,0
450.579,1,1,2,4,4,6,6,1.5611,0.4501,1.1821,0
580.641,2,1,1,5,4,6,6,1.5043,1.1267,1.1208,0
584.122,2,1,2,3,3,6,6,-0.3381,0.7261,0.9736,0
492.879,2,1,2,3,2,6,6,-1.072,0.9373,0.4933,0
480.194,2,1,1,6,4,6,6,0.6642,2.1125,1.8137,0
645.956,1,1,1,6,3,6,6,-0.376,1.8923,1.6294,0
611.239,1,1,1,5,4,6,6,0.9646,1.4677,1.3288,0
528.614,1,0.917923998,1,5,3,6,6,-0.1862,1.0803,1.1037,0
637.356,2,1,2,5,4,6,6,1.5043,0.9503,1.1799,0
585.838,1,1,1,5,2,6,6,-0.7309,2.221,1.337,0
591.383,1,1,1,5,3,6,6,-0.3381,0.9294,1.2343,0
322.447,2,1,2,2,2,6,6,-0.5917,0.2121,0.9087,0
435.377,2,1,1,3,4,6,6,-0.2387,0.5591,1.0362,0
496.405,2,1,2,2,3,5,5,-0.3381,-0.3796,-0.1518,0
461.868,2,1,2,1,3,4,6,0.0406,-0.1532,0.8571,0
446.259,1,1,1,3,3,6,6,-0.4725,-0.1258,0.8258,0
628.292,1,1,1,5,1,6,6,-0.5174,1.2777,1.2589,0
374.776,2,1,1,6,3,4,6,-0.9795,2.9974,1.7876,0
621.586,2,1,2,4,3,6,6,-0.3381,1.6156,1.4864,0
633.172,1,1,1,3,3,6,6,-0.5064,0.2454,0.7556,0
434.431,1,1,2,3,4,6,6,0.6642,1.0443,1.3178,0
608.018,1,1,1,5,3,6,6,-0.6837,0.8889,1.0747,0
615.313,1,1,2,3,4,5,5,0.9357,1.211,0.536,0
556.296,1,1,1,2,3,6,6,0.1052,0.1866,0.8373,0
605.758,1,1,1,6,4,6,6,1.1245,3.1126,2.0779,0
599.999,2,1,1,6,3,5,5,0.0248,1.171,0.604,0
389.407,1,1,1,4,3,4,4,-0.3381,0.0303,0.1476,0
653.654,1,1,2,3,1,5,5,-1.3612,-0.2572,0.0998,0
505.893,1,0.777271034,1.582678568,6.589906547,2.689430205,3.320447138,5.059028322,0.268633388,1.076558908,0.86712188,0
368.315,1,1,1,6,4,6,6,0.6642,0.4172,1.0873,0
566.616,1,1,1,6,2,6,6,-1.0137,3.6547,1.8639,0
574.702,1,1,1,3,2,4,6,-1.0362,0.4264,1.1527,0
596.22,2,1,2,3,3,5,5,-0.4157,-0.182,0.1274,0
526.412,2,1,2,3,4,6,6,1.5611,1.6681,1.1958,0
479.678,1,1,1,5,3,5.217986581,5.443445607,-0.3381,0.5058,0.281030382,0
587.244,2,1,1,5,3,6,6,-0.1862,2.018,1.6963,0
479.875,2,1,1,3,4,4,6,0.5073,1.6916,1.7003,0
401.513,1,2,2,1,3,2,2,-0.3381,-1.6459,-1.7227,0
510.844,1,1,2,5,3,5,5,-0.0099,0.8656,0.4297,0
377.597,1,1,1,3,3,6,6,0.1313,1.6956,1.3299,0
267.245,2,2,1,2,1,4,4,-1.2256,-1.6694,-1.5929,0
458.705,1,2,1,4,3,4,5,-0.4725,-0.9276,0.1427,0
350.623,2,2,2,2,4,4,4,1.5611,-1.168,-0.9951,0
436.474,1,1,1,2,4,4,4,0.5531,0.4645,-0.85,0
483.106,2,1,1,4,3,5,5,-0.8083,0.8023,0.2412,0
294.439,2,1,2,1,4,6,6,0.5599,-0.6291,-0.4337,0
459.15,2,1,1,2,1,6,6,-2.032,-0.0388,0.7958,0
368.07,1,1,1,5,4,6,6,-0.0251,2.1769,1.3414,0
495.634,2,1,2,3,3,6,6,-0.6925,0.385,0.5589,0
346.721,2,1,2,1.973689396,1,2,2,-1.1955,-1.539,-1.3054,0
553.211,2,1,1,4,3,6,6,-0.3381,1.5104,1.4891,0
630.056,1,1,1,3,3,6,6,-0.1613,2.6171,1.7925,0
476.936,1,1,1.86201753,4,3,5,6,-0.3381,2.2479,1.5122,0
534.713,2,1,2,2,1,4,5,-1.7548,0.4585,0.1562,0
622.351,1,1,2,5,3,4,6,-0.5064,0.7711,0.5975,0
298.69,2,1,2,1,2,5,5,-0.8427,-1.1659,-0.2911,0
391.704,1,1,1,3,4,2,2,-0.2015,1.3486,-0.9735,0
586.631,1,1,2,3,2,5,6,-0.9536,0.827,0.7214,0
527.734,1,1,2,2,3,2,2,-0.2216,-0.2364,-1.184,0
482.521,1,1,1,5,3,4,4,-0.3381,0.7707,-0.4069,0
548.979,1,1,2,3,2,4,4,-1.2871,0.6056,0.0697,0
430.18,2,1,2,1,3,4,4,-0.5064,0.0912,-0.0987,0
577.668,1,1,1,5,3,6,6,-0.3381,1.4952,1.2149,0
370.227,2,1,1,2,4,4,4,0.6642,-0.0405,0.4522,0
405.816,1,1,2,6,3,4,6,-0.3381,0.4677,0.9819,0
309.795,1,1,2,3,2,2,6,-0.2953,-0.0363,0.4041,0
347.335,2,1,1,1,9,4,4,5.151322532,-1.2835,-0.3766,0
411.808,2,1,2,1,4,2,4,0.045,-0.4462,0.1585,0
447.554,2,1,1,5,4,6,6,-0.0621,1.143,0.7135,0
405.545,2,1,2,2,3,2,2,-0.4725,-0.827,-1.6903,0
425.365,1,1,2,4,4,6,6,1.5043,0.487,0.6997,0
551.788,2,2,2,3,4,2,2,0.6642,-1.7358,-1.8383,0
325.432,1,1,2,1,4,4,5,2.5915,-0.2447,-0.5775,0
588.024,1,1,1,3,1,6,6,-1.5441,1.2627,1.3774,0
321.516,2,1,1,1,4,6,6,2.5915,1.7218,1.2402,0
385.002,1,1,1,3,2,5,5,-1.0137,0.7045,-0.146,0
440.192,1,1,1,4,3,1,5,-0.3381,1.1099,-0.0591,0
532.897,1,1,1,6,3,6,6,-0.7817,0.414,0.8382,0
436.179,1,1,1,6,1,6,6,-1.4894,0.5467,0.8663,0
526.757,2,1,2,3,3,6,6,-0.3381,0.4336,0.9487,0
608.129,2,1,2,3,4,6,6,0.6642,0.4455,0.8291,0
630.953,1,1,1,3,2,6,6,-0.8427,1.4313,1.2741,0
392.395,2,1,1,4,3,6,6,0.1313,1.5177,1.2232,0
616.869,1,1,2,4,4,6,6,2.5915,0.3814,0.8882,0
520.476,1,1,1,3,4,4,6,0.7934,0.7893,0.9968,0
522.779,1,1,1.056109721,4,4,6,6,0.6642,2.1241,1.5907,0
505.059,1,1,1,3,3,4,4,0.2947,0.6079,-0.0947,0
474.912,2,1,2,4,4,6,6,1.5043,1.3217,0.7792,0
407.217,1,1,1,4,4,6,6,1.5611,1.3063,1.1661,0
471.867,1,1,2,5,4,6,6,0.1643,0.9062,1.1224,0
456.774,2,1,1,4,4,6,6,2.5915,1.5643,0.4551,0
447.969,2,1,2,1,3,0,4,-0.3381,0.0649,-0.2736,0
494.423,1,1,2,3,2,6,6,-0.1461,0.0832,0.9026,0
536.943,2,1,1,6,4,6,6,0.6642,1.3808,1.3175,0
557.84,2,1,2,3,3,6,6,-0.3381,-0.4534,0.7054,0
574.717,2,1,1,3,3,6,6,-0.119,1.8115,1.6824,0
576.708,2,0.898578744,2.137125989,3.388198768,9,4.408532604,4.844352986,3.423738451,0.994316674,0.258006365,0
403.197,2,1,2,1,4,6,6,0.3171,-0.0425,0.5671,0
611.608,2,1,1,6,4,4,4,2.5915,5.2563,1.9442,0
432.991,1,1,2,3,3,5,6,-0.5753,-0.5023,-0.0565,0
514.213,2,1,1,3,4,6,6,0.5423,1.3203,1.2333,0
584.296,1,1,1,5,3,6,6,-0.3381,1.6027,1.6677,0
386.153,2,1,2,2,2,6,6,-0.9928,-0.82,0.364,0
461.297,2,1,2,5,2,6,6,-1.0536,0.1332,0.7143,0
451.645,2,1,1,4,2,6,6,-0.9585,0.4952,0.8474,0
607.602,1,1,2,5,2,6,6,-0.8616,-0.3281,0.5448,0
504.831,1,1,1,4,4,6,6,2.5915,0.8216,1.0087,0
520.239,2,1,1,4,3,5,5,-0.3381,2.688,1.7401,0
642.78,1,1,1,6,3,6,6,-0.5152,1.577,1.5756,0
541.586,1,1,1,5,4,6,6,0.6642,2.2019,1.7226,0
411.04,2,1,2,6,2,5,5,-0.7989,-0.0999,-0.7723,0
453.065,1,1,2,1,3,6,6,-0.3381,-0.2643,0.8369,0
431.311,2,1,1,2,4,6,6,0.7934,-0.6551,0.4246,0
492.512,2,1,1,3,3,4,4,-0.3381,-0.0851,-0.2048,0
330.718,1,1,2,4,3,6,6,-0.3381,1.1967,1.3118,0
499.057,2,1,1,3,3,4,4,-0.5064,-0.1038,-0.5629,0
467.399,1,1,2,3,3,6,6,-0.3381,-0.045,0.6489,0
515.033,1,1,1,4,3,6,6,1.0676,1.615,1.4862,0
487.623,2,1,2,3,4,6,6,0.3171,0.9023,0.8317,0
360.841,1,1,2,1,4,5,5,1.5043,-0.8515,-0.0773,0
421.329,2,1,2,2,1,4,4,-2.4441,-0.6561,-0.9865,0
681.437,2,1,2,3,3,4,4,-0.6334,-1.0614,-1.3694,0
489.815,1,1,1,4,3,5,5,-1.0036,1.3741,0.534,0
394.283,1,1,1,3,2,4,4,-0.8427,1.1213,-0.3193,0
386.696,2,1,2,1,4,6,6,2.5915,1.1211,1.4907,0
454.893,1,1,1,3,4,4,4,1.5043,0.6295,0.4091,0
493.184,1,1,1,5,1,4,6,-1.2259,1.3656,1.2499,0
592.81,1,1,2,3,1,4,5,-1.4215,-0.0697,-0.2653,0
679.436,2,1,1,5,3,6,6,-0.5064,1.3283,1.2362,0
414.159,1,1,2,4,3,6,6,-0.4725,1.3205,0.2828,0
578.767,1,1,1,5,2,6,6,-1.2158,1.1662,0.7014,0
569.031,1,1,1,5,3,4,4,-0.3381,4.1183,1.8566,0
419.395,1,1,2,2,3,5,5,-0.4725,0.139,0.0387,0
469.27,1,1,2,2,2,6,6,-0.6981,-0.4856,-0.5256,0
470.228,2,1,2,2,3,4,4,-0.3381,-0.5533,-0.1082,0
467.672,1,1,2,2,4,5,5,1.0269,-0.9913,0.016,0
574.432,2,1,1,4,2,5,5,-0.8616,1.6931,0.5066,0
582.54,1,1,1,5,4,6.064738869,7.099751929,0.3171,2.0218,1.9087,0
408.687,2,1,2,2,4,6,6,2.5915,0.1808,0.3628,0
418.932,1,1,1,4,2,6,6,-0.7309,1.4286,1.459,0
512.044,1,1,1,4,2,4,5,-0.8616,2.0511,0.3488,0
401.611,2,1,2,1,3,6,6,-0.7346,-0.5065,0.6859,0
568.058,2,1,2,5,3,6,6,-0.5152,1.07,1.3066,0
380.32,2,2,1,6,4,6,6,-0.378,0.2298,0.8143,0
535.433,2,1,1,6,3,6,6,-0.3259,3.185,2.0012,0
502.149,2,1,1,4,2,6,6,-0.0744,1.2969,1.39,0
468.214,1,1,2,1,4,6,6,2.5915,0.3256,1.157,0
599.263,2,1,1,4,1,6,6,-3.1297,1.6562,1.4394,0
516.968,1,1,1,3,3,6,6,-0.2541,0.6498,0.6976,0
514.737,2,1,1,5,4,4,6,0.6642,0.6022,0.7421,0
540.228,2,1,2,3,4,6,6,1.0269,0.2559,0.7594,0
678.849,1,1,1,5,3,6,6,0.2947,2.1309,1.5105,0
471.337,2,1,1,2,4,6,6,1.0269,2.4292,1.7648,0
606.096,1,1,1,4,4,6,6,0.6642,0.2869,1.0395,0
535.232,2,1,1,4,9,6,6,4.316096562,3.6473,2.4414,0
404.348,1,1,1,4,4,5,5,0.2493,0.5552,0.2754,0
552.836,1,1,1,4,2,6,6,-1.1407,0.7021,0.1382,0
490.228,2,1,2,3,4,6,6,1.0269,0.6389,0.6522,0
442.24,2,1,2,1,4,4,4,-0.378,-1.3745,-1.1952,0
542.896,2,1,2,3,4,6,6,0.3171,-0.183,0.7015,0
578.384,2,1,1,6,4,6,6,0.6642,2.2454,1.6352,0
514.919,2,1,2,3,4,6,6,1.5043,0.5814,1.003,0
468.761,2,1,1.941120738,5,4,6,6,1.398,2.1766,1.5893,0
451.3,2,1,1,4,2,6,6,-0.0623,2.4315,1.896,0
597.342,1,1,1,5,3,6,6,0.1802,1.0836,1.2703,0
502.002,1,1,1,5,2,5,6,-1.5735,0.6287,1.0204,0
566.722,1,1,2,4,3,6,6,-0.3381,1.0849,1.1054,0
435.497,2,1,1,5,4,6,6,2.5915,1.4384,1.3387,0
355.181,2,2,1,6,4,6,6,2.5915,-0.2805,0.583,0
467.183,1,0.896020971,1.062847128,2.12587296,1.635797711,5.299937934,5.311642087,-1.689613508,1.502613602,0.749358214,0
326.185,1,1,1,3,2,6,6,-0.2953,1.0218,1.4335,0
550.588,2,1,1,4,4,6,6,0.1985,2.2438,1.5933,0
417.457,1,1,1,3,3,6,6,0.2067,0.6456,1.0473,0
550.323,2,1,2,2,4,4,4,0.0901,0.4487,-0.2566,0
630.601,1,1,1,5,3,6,6,-0.5064,0.5615,1.0784,0
404.696,2,1,2,1,3,2,4,-0.3381,-0.4769,-0.8653,0
465.874,1,1,1,1,3,4,4,0.4972,-0.9693,-0.5297,0
509.165,1,1,1,6,4,5,6,1.5611,5.2563,2.5971,0
515.767,2,1,2,6,4,6,6,2.5915,0.9627,0.6679,0
482.731,1,1,1,4,1,6,6,-1.6448,1.4719,1.4543,0
455.719,1,1,1,4,4,6,6,2.5915,1.9915,1.5006,0
584.444,1,1,1,4,3,6,6,0.0248,0.5773,0.5883,0
